,,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
State Name,College Name,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES
State of California,CalBright,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,111.37,111.37,0.00,28.23,28.23,0.00,0.00,260.54,260.54,0.00,171.40,171.40,0.00,0.00,491.14,491.14,0.00,373.71,373.71,0.00,0.00,581.69,581.69,0.00,434.07,434.07
State of California,Canada,"4,102.55","4,788.23",4.01,"4,792.24","1,135.21",0.00,"1,135.21","3,984.58","4,523.33",0.00,"4,523.33","1,097.91",0.00,"1,097.91","3,951.50","4,435.21",0.00,"4,435.21","1,188.50",0.00,"1,188.50","3,127.63","3,408.56",7.33,"3,415.89",804.59,0.00,804.59,"3,565.50","3,802.65",4.90,"3,807.55",979.53,0.00,979.53,"3,590.48","3,789.52",0.03,"3,789.55","1,066.89",0.00,"1,066.89","2,823.41","3,019.99",0.98,"3,020.97",813.20,0.00,813.20
State of California,Canyons,"13,709.23","15,754.70",391.14,"16,145.83","4,624.08",14.55,"4,638.64","14,019.76","15,901.87",393.46,"16,295.34","4,880.24",23.25,"4,903.49","14,033.39","15,886.05",383.10,"16,269.14","5,167.32",41.64,"5,208.96","14,577.32","15,362.89",585.34,"15,948.23","4,747.49",339.42,"5,086.91","13,056.28","13,797.17","1,116.91","14,914.08","3,738.64",810.83,"4,549.47","12,052.23","12,622.98","1,195.84","13,818.82","3,697.26",813.90,"4,511.15","12,181.53","12,837.78","1,232.91","14,070.69","4,607.29",903.33,"5,510.62"
State of California,Cerritos,"13,837.07","17,199.83",834.06,"18,033.90","5,162.35",424.05,"5,586.40","13,741.90","16,961.23",786.25,"17,747.48","5,256.50",427.88,"5,684.38","13,855.22","16,800.41",545.10,"17,345.52","5,479.39",178.13,"5,657.53","15,428.65","17,504.38",432.77,"17,937.15","5,723.96",83.72,"5,807.68","14,780.48","16,548.40",332.84,"16,881.24","5,391.37",49.27,"5,440.64","9,468.02","10,871.12",320.03,"11,191.16","3,744.74",55.23,"3,799.97","34,186.61","36,081.10",351.37,"36,432.47","11,578.95",58.59,"11,637.54"
State of California,Cerro Coso,"2,426.16","2,834.84",6.26,"2,841.09","1,023.54",0.00,"1,023.54","2,714.87","3,098.09",1.09,"3,099.18","1,118.55",0.00,"1,118.55","3,083.01","3,460.16",1.02,"3,461.19","1,283.75",0.00,"1,283.75","3,313.57","3,480.51",0.78,"3,481.29","1,269.50",0.00,"1,269.50","3,161.81","3,346.12",3.28,"3,349.40","1,189.67",0.00,"1,189.67","2,919.15","3,068.39",2.44,"3,070.83","1,127.16",0.00,"1,127.16","1,545.09","1,636.04",0.00,"1,636.04",626.63,0.00,626.63
State of California,Chabot Hayward,"8,280.28","9,817.06",92.69,"9,909.75","2,800.19",0.00,"2,800.19","8,321.94","9,820.96",80.14,"9,901.10","2,897.08",0.00,"2,897.08","8,450.50","9,789.00",73.66,"9,862.66","2,982.64",0.00,"2,982.64","8,924.82","9,722.97",37.05,"9,760.01","2,999.06",0.00,"2,999.06","8,799.01","9,350.56",10.69,"9,361.25","3,056.44",0.58,"3,057.02","7,846.62","8,338.47",59.22,"8,397.69","3,027.57",0.39,"3,027.97","7,726.41","7,965.55",78.74,"8,044.29","2,991.94",0.74,"2,992.67"
State of California,Chaffey,"12,801.60","16,100.97",372.70,"16,473.66","3,580.80",0.00,"3,580.80","13,233.65","16,430.42",386.19,"16,816.61","3,784.25",0.00,"3,784.25","13,810.42","16,598.74",352.68,"16,951.42","3,809.50",0.89,"3,810.39","14,659.70","16,257.85",349.01,"16,606.85","3,893.68",93.63,"3,987.31","13,480.96","14,389.56",123.54,"14,513.10","3,402.91",30.07,"3,432.99","12,797.88","13,628.42",184.35,"13,812.76","3,683.37",55.35,"3,738.72","13,477.81","14,388.20",258.61,"14,646.81","4,040.87",63.96,"4,104.82"
State of California,Citrus,"9,604.00","12,311.16",332.26,"12,643.42","2,877.75",13.16,"2,890.91","9,599.09","12,308.59",307.67,"12,616.26","2,875.40",13.62,"2,889.02","10,185.97","12,112.96",316.06,"12,429.02","2,967.70",11.27,"2,978.96","10,424.82","11,825.17",280.14,"12,105.31","2,960.08",4.59,"2,964.67","9,379.88","10,479.69",229.78,"10,709.47","2,368.44",7.00,"2,375.44","7,811.43","8,831.40",192.79,"9,024.19","2,225.31",6.80,"2,232.10","7,917.84","9,021.40",246.72,"9,268.12","2,285.87",14.39,"2,300.26"
State of California,Clovis,"4,142.22","4,689.71",26.57,"4,716.28",684.41,0.00,684.41,"4,566.32","5,126.43",12.79,"5,139.22",758.74,0.00,758.74,"5,007.64","5,487.46",13.09,"5,500.55",865.66,0.00,865.66,"5,698.32","5,886.10",20.06,"5,906.17","1,045.39",0.00,"1,045.39","5,632.24","5,775.66",9.86,"5,785.51","1,088.42",0.00,"1,088.42","5,029.35","5,145.55",2.62,"5,148.16",940.44,0.13,940.58,"5,098.16","5,149.75",20.43,"5,170.18",956.42,0.36,956.78
State of California,Coastline,"5,948.17","6,627.81",244.53,"6,872.34","1,531.63",0.00,"1,531.63","6,121.85","6,812.02",261.12,"7,073.14","1,618.42",0.60,"1,619.01","6,180.81","6,733.47",286.35,"7,019.83","1,504.91",1.59,"1,506.50","5,704.21","6,071.07",283.46,"6,354.52","1,383.59",4.59,"1,388.17","4,533.83","4,747.97",176.32,"4,924.29","1,036.06",2.66,"1,038.72","3,779.86","3,960.02",157.58,"4,117.59",823.01,3.32,826.32,"3,993.26","4,140.03",214.41,"4,354.44",941.02,4.37,945.39
State of California,Columbia,"1,324.74","1,823.42",94.97,"1,918.39",576.86,0.00,576.86,"1,140.74","1,590.52",104.35,"1,694.87",522.68,0.00,522.68,"1,260.74","1,622.91",108.55,"1,731.46",558.74,0.22,558.96,"1,363.97","1,639.87",102.98,"1,742.86",565.86,0.40,566.26,"1,319.15","1,510.56",18.04,"1,528.60",427.56,0.00,427.56,"1,207.69","1,439.85",22.49,"1,462.34",502.18,0.00,502.18,441.71,634.68,28.82,663.49,306.48,0.00,306.48
State of California,Compton,"4,095.17","5,252.86",8.93,"5,261.79",920.74,0.00,920.74,"3,946.98","4,934.84",21.36,"4,956.19",934.13,0.00,934.13,"3,899.56","4,575.60",1.20,"4,576.80",911.10,0.00,911.10,"4,169.92","4,523.80",20.48,"4,544.28","1,143.57",0.00,"1,143.57","3,292.94","3,427.69",7.92,"3,435.61",838.15,6.20,844.35,"2,852.59","2,943.10",22.81,"2,965.91",747.22,18.76,765.97,"1,799.56","1,844.25",16.53,"1,860.78",507.41,10.54,517.95
State of California,Contra Costa,"3,914.76","5,030.64",121.58,"5,152.22","1,460.64",0.14,"1,460.77","4,030.20","4,987.60",123.69,"5,111.29","1,539.06",0.28,"1,539.35","4,295.93","5,270.21",114.21,"5,384.42","1,662.12",0.17,"1,662.29","4,507.53","5,234.09",81.88,"5,315.97","1,654.19",0.16,"1,654.35","3,892.26","4,352.01",55.24,"4,407.25","1,260.86",0.00,"1,260.86","3,588.94","3,948.25",73.46,"4,021.72","1,273.95",0.36,"1,274.31","3,819.58","4,156.84",130.35,"4,287.19","1,298.67",1.36,"1,300.03"
State of California,Copper Mountain,"1,001.32","1,423.62",107.33,"1,530.95",320.51,0.00,320.51,"1,054.23","1,576.73",102.88,"1,679.61",371.98,0.00,371.98,"1,007.76","1,352.93",95.48,"1,448.41",337.78,0.00,337.78,"1,017.75","1,219.05",75.99,"1,295.04",292.10,0.00,292.10,"1,169.66","1,296.75",25.14,"1,321.89",293.68,0.00,293.68,925.59,"1,028.28",206.12,"1,234.40",230.36,14.22,244.58,"1,347.61","1,434.19",113.16,"1,547.36",319.90,10.94,330.84
